timestamp,name,session,label,phase,repetition,fatigue,ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08
2026-09-15 22:06:50.538962,vivienne,1,flexion,moving,1,1,1,9,-2,10,-1,-9,-6,0
2026-09-15 22:06:50.547118,vivienne,1,flexion,moving,1,1,5,1,5,5,-2,-7,-5,-2
2026-09-15 22:06:50.547737,vivienne,1,flexion,moving,1,1,-4,-9,-11,-12,-1,4,-3,1
2026-09-15 22:06:50.561404,vivienne,1,flexion,moving,1,1,-5,-6,1,-14,-4,-2,3,0
2026-09-15 22:06:50.562035,vivienne,1,flexion,moving,1,1,7,11,3,8,1,-2,-4,0
2026-09-15 22:06:50.567888,vivienne,1,flexion,moving,1,1,3,5,-10,3,1,-5,2,-2
2026-09-15 22:06:50.568147,vivienne,1,flexion,moving,1,1,-2,-10,0,-14,-5,11,-1,-1
2026-09-15 22:06:50.575432,vivienne,1,flexion,moving,1,1,-7,-7,4,-8,-3,3,3,3
2026-09-15 22:06:50.575824,vivienne,1,flexion,moving,1,1,3,6,2,12,5,0,-1,-4
2026-09-15 22:06:50.590812,vivienne,1,flexion,moving,1,1,1,1,-1,7,3,-2,-3,0
2026-09-15 22:06:50.591460,vivienne,1,flexion,moving,1,1,-5,-8,2,-14,-5,1,-2,-2
2026-09-15 22:06:50.598299,vivienne,1,flexion,moving,1,1,-5,-11,-1,-11,-14,-1,0,0
2026-09-15 22:06:50.598920,vivienne,1,flexion,moving,1,1,2,8,3,12,3,-4,-3,-1
2026-09-15 22:06:50.607080,vivienne,1,flexion,moving,1,1,9,7,-2,5,3,-1,-2,-4
2026-09-15 22:06:50.607708,vivienne,1,flexion,moving,1,1,-7,-11,0,-4,-4,2,2,-3
2026-09-15 22:06:50.621327,vivienne,1,flexion,moving,1,1,-7,-10,7,-8,-9,4,-1,3
2026-09-15 22:06:50.621914,vivienne,1,flexion,moving,1,1,2,3,1,12,3,-5,-2,-2
2026-09-15 22:06:50.628328,vivienne,1,flexion,moving,1,1,5,4,-3,-1,4,-4,-2,-6
2026-09-15 22:06:50.628948,vivienne,1,flexion,moving,1,1,-6,-7,4,4,4,3,3,-3
2026-09-15 22:06:50.635701,vivienne,1,flexion,moving,1,1,-5,-13,-6,-10,-12,2,2,-5
2026-09-15 22:06:50.636288,vivienne,1,flexion,moving,1,1,2,6,1,6,1,-3,-5,3
2026-09-15 22:06:50.650807,vivienne,1,flexion,moving,1,1,6,8,-1,10,-1,-7,-4,2
2026-09-15 22:06:50.651458,vivienne,1,flexion,moving,1,1,-5,-10,0,-10,-5,4,0,-2
2026-09-15 22:06:50.658398,vivienne,1,flexion,moving,1,1,-4,-6,2,-9,-3,-3,1,3
2026-09-15 22:06:50.659330,vivienne,1,flexion,moving,1,1,1,10,-4,2,2,-3,0,-3
2026-09-15 22:06:50.666892,vivienne,1,flexion,moving,1,1,2,7,-3,7,7,-8,-4,-2
2026-09-15 22:06:50.667394,vivienne,1,flexion,moving,1,1,-5,-10,-4,-5,-3,6,2,3
2026-09-15 22:06:50.681244,vivienne,1,flexion,moving,1,1,-3,-9,-1,-11,-6,4,0,-7
2026-09-15 22:06:50.681870,vivienne,1,flexion,moving,1,1,3,8,0,7,4,-6,-7,0
2026-09-15 22:06:50.687924,vivienne,1,flexion,moving,1,1,9,5,4,7,2,-8,-3,0
2026-09-15 22:06:50.688288,vivienne,1,flexion,moving,1,1,-7,-3,-4,-13,-12,0,2,-3
2026-09-15 22:06:50.695435,vivienne,1,flexion,moving,1,1,-7,-7,1,-2,-4,5,5,-2
2026-09-15 22:06:50.695706,vivienne,1,flexion,moving,1,1,5,10,8,18,7,-8,-2,-3
2026-09-15 22:06:50.710416,vivienne,1,flexion,moving,1,1,5,6,1,0,9,-10,1,0
2026-09-15 22:06:50.710724,vivienne,1,flexion,moving,1,1,-10,-18,-4,-6,4,6,2,-1
2026-09-15 22:06:50.718101,vivienne,1,flexion,moving,1,1,-3,0,3,-4,-6,0,-1,2
2026-09-15 22:06:50.718539,vivienne,1,flexion,moving,1,1,4,6,7,9,-2,-2,2,-1
2026-09-15 22:06:50.727057,vivienne,1,flexion,moving,1,1,4,7,1,8,5,-3,-1,-1
2026-09-15 22:06:50.727699,vivienne,1,flexion,moving,1,1,-3,-9,-6,-16,-7,-1,-4,-1
2026-09-15 22:06:50.741167,vivienne,1,flexion,moving,1,1,-3,-4,2,-6,4,0,1,-2
2026-09-15 22:06:50.741611,vivienne,1,flexion,moving,1,1,5,10,-5,18,2,-7,-2,-1
2026-09-15 22:06:50.748082,vivienne,1,flexion,moving,1,1,-2,10,3,15,7,-4,-2,-1
2026-09-15 22:06:50.748442,vivienne,1,flexion,moving,1,1,-5,-11,-1,-11,-4,6,-1,-7
2026-09-15 22:06:50.755814,vivienne,1,flexion,moving,1,1,-5,-8,-1,-9,-5,2,-1,-2
2026-09-15 22:06:50.756452,vivienne,1,flexion,moving,1,1,3,7,4,2,-1,-7,-6,-2
2026-09-15 22:06:50.770592,vivienne,1,flexion,moving,1,1,4,2,-17,6,4,-9,1,-3
2026-09-15 22:06:50.771051,vivienne,1,flexion,moving,1,1,-5,-10,6,-11,-7,3,3,2
2026-09-15 22:06:50.778313,vivienne,1,flexion,moving,1,1,-4,-9,-8,-8,-1,0,2,-3
2026-09-15 22:06:50.778749,vivienne,1,flexion,moving,1,1,6,13,6,11,6,-7,-2,-5
2026-09-15 22:06:50.787067,vivienne,1,flexion,moving,1,1,2,-3,-11,-7,1,0,-3,-7
2026-09-15 22:06:50.787666,vivienne,1,flexion,moving,1,1,-6,-13,-11,-23,-12,6,3,0
2026-09-15 22:06:50.801380,vivienne,1,flexion,moving,1,1,-2,-5,0,-3,6,8,3,0
2026-09-15 22:06:50.802093,vivienne,1,flexion,moving,1,1,5,9,-1,11,-5,-8,1,-6
2026-09-15 22:06:50.808198,vivienne,1,flexion,moving,1,1,2,2,-10,14,6,-4,-4,1
2026-09-15 22:06:50.808904,vivienne,1,flexion,moving,1,1,-7,-7,-1,-16,-4,5,-3,1
2026-09-15 22:06:50.815507,vivienne,1,flexion,moving,1,1,-3,-8,0,-4,-5,0,0,-5
2026-09-15 22:06:50.815998,vivienne,1,flexion,moving,1,1,4,10,-12,1,-1,-10,-2,0
2026-09-15 22:06:50.830643,vivienne,1,flexion,moving,1,1,3,4,-1,8,5,-4,0,1
2026-09-15 22:06:50.831130,vivienne,1,flexion,moving,1,1,-10,-10,2,-7,-4,3,0,2
2026-09-15 22:06:50.838295,vivienne,1,flexion,moving,1,1,-5,-1,-3,-7,-2,-1,6,-4
2026-09-15 22:06:50.838925,vivienne,1,flexion,moving,1,1,8,11,-6,12,2,-4,-4,-3
2026-09-15 22:06:50.847112,vivienne,1,flexion,moving,1,1,7,3,0,6,7,-11,0,2
2026-09-15 22:06:50.847741,vivienne,1,flexion,moving,1,1,-10,-9,0,-7,-5,2,3,2
2026-09-15 22:06:50.861443,vivienne,1,flexion,moving,1,1,-8,-8,3,-10,-11,6,1,-2
2026-09-15 22:06:50.861868,vivienne,1,flexion,moving,1,1,4,10,1,11,5,-13,0,3
2026-09-15 22:06:50.868156,vivienne,1,flexion,moving,1,1,6,7,-2,6,0,0,-3,-2
2026-09-15 22:06:50.868764,vivienne,1,flexion,moving,1,1,-12,-14,7,-14,-14,9,3,-3
2026-09-15 22:06:50.875744,vivienne,1,flexion,moving,1,1,-4,-2,-4,-11,6,0,2,1
2026-09-15 22:06:50.876383,vivienne,1,flexion,moving,1,1,8,0,-8,4,2,-9,-1,-4
2026-09-15 22:06:50.890687,vivienne,1,flexion,moving,1,1,-3,0,-4,4,0,-5,-2,-4
2026-09-15 22:06:50.891301,vivienne,1,flexion,moving,1,1,-9,-11,1,-12,-5,2,6,-4
2026-09-15 22:06:50.898263,vivienne,1,flexion,moving,1,1,-8,-4,1,-13,-4,-5,2,0
2026-09-15 22:06:50.898862,vivienne,1,flexion,moving,1,1,4,6,6,10,1,-10,1,1
2026-09-15 22:06:50.907118,vivienne,1,flexion,moving,1,1,5,9,3,5,-1,-8,-6,0
2026-09-15 22:06:50.907714,vivienne,1,flexion,moving,1,1,-6,-11,4,-4,1,5,2,0
2026-09-15 22:06:50.921508,vivienne,1,flexion,moving,1,1,-7,-7,0,-7,-7,-4,2,2
2026-09-15 22:06:50.922162,vivienne,1,flexion,moving,1,1,5,17,-4,10,5,-2,-5,-1
2026-09-15 22:06:50.928289,vivienne,1,flexion,moving,1,1,6,0,-12,-2,-3,-3,1,1
2026-09-15 22:06:50.928875,vivienne,1,flexion,moving,1,1,-4,-10,-2,-10,-7,8,5,-5
2026-09-15 22:06:50.935673,vivienne,1,flexion,moving,1,1,-5,-8,-4,-6,-1,-4,-3,-4
2026-09-15 22:06:50.936234,vivienne,1,flexion,moving,1,1,6,14,0,3,6,-9,-3,0
2026-09-15 22:06:50.951018,vivienne,1,flexion,moving,1,1,5,4,-1,6,0,-5,1,-2
2026-09-15 22:06:50.951840,vivienne,1,flexion,moving,1,1,-8,-9,-5,-17,-1,7,-3,-2
2026-09-15 22:06:50.958168,vivienne,1,flexion,moving,1,1,-6,-8,-1,-6,-4,-3,4,0
2026-09-15 22:06:50.958843,vivienne,1,flexion,moving,1,1,3,9,2,15,5,-8,-7,4
2026-09-15 22:06:50.973301,vivienne,1,flexion,moving,1,1,4,1,2,2,11,-3,0,0
2026-09-15 22:06:50.973912,vivienne,1,flexion,moving,1,1,-12,-18,-8,-9,-10,4,-7,0
2026-09-15 22:06:50.981489,vivienne,1,flexion,moving,1,1,-5,0,-5,-9,-2,6,-4,2
2026-09-15 22:06:50.982128,vivienne,1,flexion,moving,1,1,4,11,7,10,1,-6,-1,-7
2026-09-15 22:06:50.988290,vivienne,1,flexion,moving,1,1,7,3,-2,-3,-6,-5,-3,1
2026-09-15 22:06:50.988935,vivienne,1,flexion,moving,1,1,-10,-17,-5,-11,-8,8,4,-2
2026-09-15 22:06:51.003975,vivienne,1,flexion,moving,1,1,-1,-3,1,-3,2,3,-3,2
2026-09-15 22:06:51.004637,vivienne,1,flexion,moving,1,1,7,4,-1,11,2,1,-1,3
